reservation_id,customer_id,nombre_cliente,email,pais,restaurant_id,date_id,channel_id,guests,total_spent,status
R0782,C1297,Casey Dominguez,robert65@garrison.info,Greece,REST002,D20250821,CH1,4,357.62,Confirmada
R2145,C1842,Janice Dodson,shannon77@gmail.com,Saint Martin,REST004,D20250820,CH3,5,0.0,Cancelada
R0323,C1629,Angela Jones,stacey90@burton.com,Georgia,REST001,D20250814,CH3,5,1463.83,Confirmada
R0299,C1123,Kimberly Simpson,elizabeth62@yahoo.com,Bulgaria,REST001,D20250824,CH3,3,603.88,Confirmada
R1299,C1748,Darin Baker,cynthiareed@hotmail.com,Palestinian Territory,REST004,D20250814,CH3,3,0.0,Cancelada
R0195,C1011,Dawn Mathis,brenda14@yahoo.com,France,REST001,D20250825,CH1,2,331.93,Confirmada
R0064,C1996,Joshua Baker,ygonzalez@cohen.org,Qatar,REST002,D20250823,CH1,3,359.02,Confirmada
R0394,C1595,Brian Mcguire,anthonyhughes@petty.com,Ghana,REST002,D20250813,CH1,4,526.7,Confirmada
R0728,C1498,Derek Flores,pwilkinson@gmail.com,Niger,REST002,D20250817,CH2,5,0.0,Cancelada
R1584,C1951,Sarah Harris,julievelasquez@yahoo.com,Western Sahara,REST002,D20250818,CH3,3,0.0,No Show
R1548,C1930,Molly Lewis,ybailey@anderson.com,Norway,REST002,D20250825,CH1,4,633.46,Confirmada
R2426,C1254,Virginia Davis,ellismichael@hotmail.com,Uruguay,REST001,D20250827,CH1,3,0.0,No Show
R0015,C1418,Barbara Pacheco,ejohnson@yahoo.com,Sweden,REST004,D20250810,CH3,3,657.53,Confirmada
R2568,C1133,Tiffany Williams,migueljohnson@woodward-jordan.org,Syrian Arab Republic,REST004,D20250820,CH1,2,472.96,Confirmada
R1601,C1830,Kimberly Francis,jerome91@gmail.com,Comoros,REST002,D20250824,CH2,3,0.0,No Show
R1091,C1224,Patricia Allen,patrick53@gmail.com,Guernsey,REST003,D20250825,CH2,3,727.81,Confirmada
R2112,C1668,Eduardo Scott,sandersjustin@gmail.com,Equatorial Guinea,REST001,D20250825,CH1,2,352.35,Confirmada
R0204,C1310,Donna Ramirez,barneslisa@alexander-clark.com,El Salvador,REST002,D20250812,CH1,5,426.14,Confirmada
R2419,C1922,Kimberly Montes,cody67@gmail.com,Kiribati,REST004,D20250818,CH3,3,890.91,Confirmada
R0153,C1129,Brandi Cummings,bbennett@williams-pearson.com,Syrian Arab Republic,REST001,D20250813,CH1,5,1111.15,Confirmada
R2902,C1277,Alexandra Brown,garrettsamuel@gmail.com,Zambia,REST003,D20250814,CH1,1,179.1,Confirmada
R1360,C1939,Anna Anthony,victor86@thompson.com,Vanuatu,REST004,D20250825,CH3,4,541.38,Confirmada
R0773,C1972,Brittany Lawson,angela81@foster.com,Egypt,REST002,D20250819,CH1,4,773.66,Confirmada
R2679,C1611,Corey Watson,lisa38@lee-bridges.net,Namibia,REST001,D20250816,CH2,1,259.0,Confirmada
R1002,C1087,Michael Salazar,jacob53@yahoo.com,Malawi,REST003,D20250817,CH2,5,565.4,Confirmada
R0719,C1271,Shelly Brown,qcoleman@petersen.com,Taiwan,REST001,D20250811,CH1,4,0.0,Cancelada
R0613,C1617,Deborah Jordan,angie04@ruiz.com,Honduras,REST003,D20250815,CH1,2,510.29,Confirmada
R0843,C1282,Shawna Clay,tammy38@mendoza.com,Mauritania,REST001,D20250823,CH3,4,168.79,Confirmada
R0267,C1185,Joseph Flowers,anthonylewis@yahoo.com,Bulgaria,REST004,D20250821,CH2,2,0.0,No Show
R0052,C1961,Kenneth Dunn,george89@hotmail.com,Cote d'Ivoire,REST004,D20250819,CH2,2,594.43,Confirmada
R1196,C1802,Tina Russo,zandrews@moore.com,Korea,REST004,D20250826,CH3,2,85.93,Confirmada
R1271,C1702,James Richmond,donald80@fisher.com,Turks and Caicos Islands,REST001,D20250819,CH3,3,855.14,Confirmada
R1492,C1437,Courtney Schneider,jason94@elliott.com,Spain,REST002,D20250817,CH1,2,0.0,Cancelada
R1583,C1323,Austin Michael,maryjackson@gmail.com,Senegal,REST001,D20250813,CH2,4,0.0,Cancelada
R0522,C1012,Linda Willis,smithmary@smith-patterson.com,Panama,REST003,D20250814,CH3,5,0.0,Cancelada
R1695,C1095,Jason Moore,ecalderon@yahoo.com,Estonia,REST003,D20250816,CH2,4,0.0,Cancelada
R2664,C1370,Anthony Walsh,alicia84@bell.com,Mexico,REST002,D20250810,CH2,1,35.06,Confirmada
R2749,C1711,Johnny Carey,zscott@snyder-clark.org,South Georgia and the South Sandwich Islands,REST001,D20250811,CH3,2,98.03,Confirmada
R1922,C1552,Anthony Barber,fcherry@yahoo.com,Sao Tome and Principe,REST003,D20250824,CH3,1,0.0,No Show
R0103,C1404,Melissa Mitchell,garciaerica@stewart-clements.info,Sierra Leone,REST001,D20250825,CH1,2,114.96,Confirmada
R0696,C1727,Karen Stevens,jennifer33@gmail.com,Burkina Faso,REST004,D20250819,CH2,2,70.92,Confirmada
R2333,C1278,Amanda Mcdaniel,kschaefer@hotmail.com,France,REST003,D20250821,CH1,5,146.56,Confirmada
R2725,C1426,Kimberly Rogers,ddunlap@hotmail.com,Mauritania,REST004,D20250814,CH3,2,268.63,Confirmada
R2273,C1438,Timothy Kelly,chelsea88@fitzpatrick-king.org,Turkey,REST004,D20250824,CH3,5,931.42,Confirmada
R2483,C1298,Rodney Bryant,thomaslindsay@gmail.com,Uganda,REST003,D20250821,CH2,3,293.93,Confirmada
R1843,C1974,Karl Adams,taylorrobert@hotmail.com,French Polynesia,REST003,D20250821,CH2,5,0.0,Cancelada
R1831,C1919,Sara Morrison,huberjames@hotmail.com,Saint Barthelemy,REST004,D20250820,CH1,3,819.52,Confirmada
R0795,C1287,Brian Herrera,rmcconnell@yahoo.com,Sweden,REST001,D20250811,CH1,5,1479.24,Confirmada
R1821,C1127,Jennifer Callahan,gregory53@dean.biz,Equatorial Guinea,REST003,D20250820,CH3,2,494.0,Confirmada
R2002,C1524,Caitlyn Adkins,njohnson@fernandez-macias.com,Fiji,REST003,D20250827,CH3,4,553.6,Confirmada
R0145,C1294,Rhonda Leach,thomasjohnson@taylor.biz,Macedonia,REST002,D20250817,CH1,2,0.0,Cancelada
R2526,C1820,Jennifer Williams,lauriesoto@lewis.com,Luxembourg,REST004,D20250827,CH1,5,0.0,No Show
R1331,C1521,Kelsey Green,cpacheco@miller.com,Kyrgyz Republic,REST002,D20250819,CH3,2,215.12,Confirmada
R2478,C1608,Michelle Lewis,lindalewis@freeman-manning.com,Micronesia,REST004,D20250823,CH2,1,189.02,Confirmada
R2882,C1759,Bryan Nguyen,collinsjohnny@lara.com,Brazil,REST001,D20250821,CH2,3,242.41,Confirmada
R0322,C1911,Melissa Williams,meganmercer@yahoo.com,Bermuda,REST001,D20250821,CH3,2,292.21,Confirmada
R1262,C1102,Amber Hoffman,keith99@petersen.com,Jamaica,REST003,D20250827,CH2,4,0.0,Cancelada
R2415,C1499,Tina Hill,zgonzales@fitzpatrick-caldwell.info,Djibouti,REST004,D20250816,CH3,3,672.06,Confirmada
R1270,C1866,Matthew Freeman,juan32@powell.com,Marshall Islands,REST001,D20250827,CH2,1,0.0,No Show
R1761,C1782,Angel Reid,lorihenry@brock.com,India,REST003,D20250810,CH2,3,629.87,Confirmada
R0417,C1625,James Rodriguez,jason92@thompson-wilcox.biz,Namibia,REST004,D20250820,CH3,5,0.0,No Show
R2632,C1063,Michael Jones,howarddaniel@yahoo.com,Martinique,REST001,D20250819,CH3,5,841.84,Confirmada
R2292,C1051,Elijah Brown,christopherhuang@yahoo.com,Mongolia,REST002,D20250826,CH1,4,723.18,Confirmada
R0175,C1150,Devon Montoya,ginasanders@gmail.com,Senegal,REST002,D20250825,CH1,2,87.88,Confirmada
R1726,C1527,Kathleen Miller,jessecruz@yahoo.com,Mauritius,REST003,D20250826,CH3,5,578.14,Confirmada
R2176,C1052,Jamie Waller,courtneylevy@colon.com,United States Minor Outlying Islands,REST001,D20250815,CH2,5,409.97,Confirmada
R0046,C1026,Rose Rosales,pfernandez@yahoo.com,New Zealand,REST002,D20250811,CH2,5,1368.54,Confirmada
R0686,C1653,Crystal Lopez,stevenhayes@bryant-gilbert.com,French Guiana,REST004,D20250827,CH2,2,508.93,Confirmada
R1608,C1631,Julia Taylor,khernandez@reed.biz,Cyprus,REST003,D20250816,CH1,5,1487.38,Confirmada
R1232,C1868,David Scott,mlong@arnold-peters.org,Bahamas,REST002,D20250818,CH1,2,331.02,Confirmada
R0863,C1996,Joshua Baker,ygonzalez@cohen.org,Qatar,REST003,D20250821,CH2,2,343.11,Confirmada
R1966,C1824,Stacey Jones,andrewsnow@chambers.com,Egypt,REST004,D20250814,CH1,1,218.29,Confirmada
R0332,C1977,James Mcclure,claudia02@cook.com,United States Minor Outlying Islands,REST002,D20250819,CH3,2,576.1,Confirmada
R0094,C1304,Randy Todd,stephanielewis@brown-taylor.com,Colombia,REST003,D20250823,CH3,4,266.16,Confirmada
R1642,C1914,Brittany Odom,kathleen66@yahoo.com,Panama,REST002,D20250820,CH1,4,0.0,Cancelada
R2987,C1254,Virginia Davis,ellismichael@hotmail.com,Uruguay,REST004,D20250827,CH2,1,44.57,Confirmada
R0507,C1187,Corey Pena,yjennings@yahoo.com,Congo,REST002,D20250822,CH3,3,153.24,Confirmada
R2910,C1963,Cynthia Arnold,ywhite@harris-williams.com,Kazakhstan,REST001,D20250820,CH3,4,315.97,Confirmada
R2046,C1174,Brian Jimenez,coreyhenry@hotmail.com,Syrian Arab Republic,REST003,D20250816,CH2,3,189.34,Confirmada
R0496,C1750,Mrs. Nancy Hicks,wparker@smith-wilson.com,Norfolk Island,REST003,D20250813,CH2,4,0.0,Cancelada
R2133,C1458,Anthony Lee,callahanlynn@rios.org,Iran,REST003,D20250817,CH2,2,520.1,Confirmada
R0001,C1020,Adriana Turner,renee25@hotmail.com,Bulgaria,REST003,D20250816,CH1,3,0.0,Cancelada
R0315,C1620,Katelyn Reed,angelarichardson@goodman.com,Andorra,REST003,D20250823,CH2,2,0.0,No Show
R1273,C1593,Anthony Duncan,omartinez@marks.com,Bhutan,REST001,D20250824,CH2,4,743.59,Confirmada
R1942,C1295,Connor Brown,coopertheresa@castaneda-marshall.net,Portugal,REST001,D20250820,CH1,5,1375.12,Confirmada
R2968,C1055,Daniel Collins,codywarren@gmail.com,Burkina Faso,REST004,D20250812,CH2,3,347.9,Confirmada
R1317,C1640,Nichole Riley,moralesmatthew@warren-mcdaniel.info,South Africa,REST003,D20250818,CH3,1,258.35,Confirmada
R0756,C1816,Brian Morris,raykaren@yahoo.com,Central African Republic,REST004,D20250811,CH2,5,0.0,No Show
R1771,C1482,Kristin Hutchinson,kaylabrady@howell-carrillo.com,French Southern Territories,REST003,D20250819,CH2,3,562.86,Confirmada
R1201,C1796,Trevor Phillips,xperez@gmail.com,Tuvalu,REST002,D20250819,CH3,2,145.83,Confirmada
R2175,C1464,Alexandra Roberts,opotter@kennedy.com,Egypt,REST001,D20250815,CH2,1,0.0,Cancelada
R1992,C1855,Jon Hubbard,vfernandez@newman.org,Venezuela,REST003,D20250823,CH1,4,780.24,Confirmada
R0880,C1302,Karen Patel,cbrown@welch.com,Botswana,REST003,D20250817,CH3,5,196.81,Confirmada
R0766,C1797,Charles Melton,smithkaren@fernandez.net,Ghana,REST003,D20250819,CH3,2,199.99,Confirmada
R0928,C1877,Miss Kathryn Crosby,xfoster@nelson.biz,Gambia,REST003,D20250810,CH2,2,107.4,Confirmada
R2378,C1473,Rachel Wood,ksantos@yahoo.com,Japan,REST001,D20250827,CH3,2,0.0,Cancelada
R1375,C1486,Joseph Williamson,cbuchanan@hotmail.com,Estonia,REST002,D20250824,CH3,1,217.61,Confirmada
R1815,C1155,Danny Washington,ahenderson@yahoo.com,Guinea-Bissau,REST003,D20250825,CH1,1,54.32,Confirmada
R1799,C1260,Gabrielle Harris,wsoto@rhodes-rodgers.com,Cape Verde,REST004,D20250826,CH3,5,0.0,No Show
R0930,C1283,Jennifer Cook,eddie30@hotmail.com,Sao Tome and Principe,REST001,D20250819,CH2,3,581.92,Confirmada
R0437,C1274,Brooke Johnson,colebrown@gmail.com,Maldives,REST001,D20250818,CH3,3,0.0,Cancelada
R0197,C1921,Desiree Smith,cranemichael@yahoo.com,Vietnam,REST002,D20250818,CH1,2,163.88,Confirmada
R1763,C1375,Stacey Carlson,garciasusan@yahoo.com,Andorra,REST003,D20250825,CH1,3,0.0,Cancelada
R1065,C1959,Jesse Ramirez,kduke@melton-ferguson.com,El Salvador,REST004,D20250821,CH2,4,0.0,Cancelada
R2343,C1560,Patricia Pierce,stewartdanielle@strong-martin.biz,Brazil,REST002,D20250823,CH2,5,0.0,Cancelada
R2529,C1246,Jonathan Jones,kvilla@arias.com,Turkey,REST004,D20250823,CH1,5,918.91,Confirmada
R1269,C1933,Anna Williams,staceybaker@yahoo.com,Cyprus,REST002,D20250811,CH2,1,0.0,Cancelada
R2324,C1533,Kyle Snyder,ubrown@montoya-guzman.com,Central African Republic,REST001,D20250816,CH3,2,176.27,Confirmada
R2780,C1509,William Morris,davidsnyder@brown-small.biz,Guinea-Bissau,REST002,D20250825,CH2,5,815.85,Confirmada
R2226,C1368,Jordan Brooks,smithmark@king.com,Malaysia,REST001,D20250827,CH3,5,1181.01,Confirmada
R0451,C1261,Erik West,ejones@brock.com,Faroe Islands,REST002,D20250817,CH2,1,31.13,Confirmada
R2165,C1348,Randy Smith,angelicadavenport@hotmail.com,Cote d'Ivoire,REST002,D20250827,CH3,2,327.11,Confirmada
R2373,C1829,Gary Wong,nhodge@johnson-perez.com,Antarctica (the territory South of 60 deg S),REST003,D20250827,CH3,4,0.0,Cancelada
R2013,C1467,James Floyd,stevenmcmahon@gmail.com,Norway,REST003,D20250819,CH3,1,0.0,No Show
R0271,C1144,Heidi Stewart,fmalone@key.com,Zimbabwe,REST002,D20250811,CH3,1,46.67,Confirmada
R1841,C1466,Alexander Mcmahon,garciadustin@zimmerman.com,Indonesia,REST003,D20250827,CH1,5,498.79,Confirmada
R2935,C1204,Ethan Ramirez,alexandria85@yahoo.com,Nauru,REST001,D20250821,CH1,4,0.0,Cancelada
R0979,C1511,Sandra Soto,lisa23@jones.net,Mozambique,REST003,D20250813,CH3,4,0.0,Cancelada
R2167,C1112,Rachel Allen,jasmine35@johnson.info,Belarus,REST001,D20250812,CH3,2,412.88,Confirmada
R0355,C1390,Joseph Kelley,patricia47@key.biz,Finland,REST002,D20250820,CH3,4,947.61,Confirmada
R1877,C1454,John Morgan,lisalopez@saunders.com,Kenya,REST003,D20250821,CH1,3,236.72,Confirmada
R0185,C1905,Catherine Peck,kpacheco@todd.com,Belize,REST003,D20250822,CH2,4,633.59,Confirmada
R2745,C1275,Joseph Fernandez,ujohnson@hotmail.com,Bhutan,REST001,D20250817,CH1,2,242.14,Confirmada
R1615,C1297,Casey Dominguez,robert65@garrison.info,Greece,REST004,D20250811,CH2,3,307.89,Confirmada
R2760,C1937,Arthur Singleton,daviseric@hotmail.com,Lebanon,REST003,D20250818,CH2,2,291.57,Confirmada
R1707,C1981,Emily Smith,rileystephen@taylor-sanchez.com,Switzerland,REST001,D20250814,CH2,2,216.77,Confirmada
R1862,C1300,Jeffrey Carter,jane16@yahoo.com,Maldives,REST004,D20250813,CH2,4,881.43,Confirmada
R0247,C1116,Megan Contreras,tfuentes@yahoo.com,Jersey,REST004,D20250811,CH1,4,731.81,Confirmada
R0556,C1246,Jonathan Jones,kvilla@arias.com,Turkey,REST001,D20250817,CH3,3,880.94,Confirmada
R1753,C1901,Christina Medina,pspence@hines-johnson.org,Eritrea,REST004,D20250815,CH1,4,0.0,Cancelada
R1365,C1142,Teresa Smith MD,sandersscott@hotmail.com,Haiti,REST002,D20250810,CH1,1,21.32,Confirmada
R0068,C1768,Phyllis Gutierrez,brenda95@gmail.com,Angola,REST004,D20250814,CH3,2,321.76,Confirmada
R2619,C1246,Jonathan Jones,kvilla@arias.com,Turkey,REST001,D20250822,CH1,2,150.68,Confirmada
R2285,C1709,Jason Mckay,briannamunoz@taylor-massey.com,Marshall Islands,REST004,D20250810,CH2,2,121.25,Confirmada
R0533,C1674,Jennifer Anderson,huffmankayla@hotmail.com,Malaysia,REST002,D20250812,CH1,4,0.0,No Show
R2874,C1059,Elizabeth Howard,garciaedward@yahoo.com,Turks and Caicos Islands,REST004,D20250822,CH2,5,0.0,Cancelada
R2706,C1656,Julia Sims,barry53@davis-marshall.com,Slovenia,REST003,D20250819,CH1,1,35.63,Confirmada
R1503,C1479,Christopher Roach,joelpadilla@rivera.org,Philippines,REST003,D20250827,CH2,4,847.69,Confirmada
R0762,C1462,Gregory Anderson,sarah55@hotmail.com,Bahamas,REST004,D20250824,CH1,2,195.74,Confirmada
R2753,C1406,Michael Wang,robertlara@yahoo.com,Barbados,REST004,D20250817,CH2,2,405.11,Confirmada
R1212,C1014,Karina Walker,fisherdiana@erickson-riley.info,Nauru,REST003,D20250825,CH1,5,0.0,Cancelada
R2244,C1922,Kimberly Montes,cody67@gmail.com,Kiribati,REST002,D20250816,CH2,1,44.6,Confirmada
R1794,C1173,Kimberly Parker,keith06@gmail.com,Burundi,REST001,D20250810,CH1,4,380.78,Confirmada
R0536,C1794,Deanna Olson,jonesleroy@alvarez.com,Saint Helena,REST003,D20250819,CH1,4,0.0,No Show
R1747,C1020,Adriana Turner,renee25@hotmail.com,Bulgaria,REST003,D20250821,CH1,1,283.83,Confirmada
R0464,C1040,Ryan Mason,wileymolly@smith.com,San Marino,REST004,D20250816,CH1,1,109.9,Confirmada
R2678,C1999,Crystal Brown,thomas62@gmail.com,Morocco,REST001,D20250826,CH1,4,0.0,Cancelada
R1840,C1809,Tammy Boyd,joseglenn@carrillo.biz,Belgium,REST004,D20250816,CH3,4,903.23,Confirmada
R2863,C1862,Juan Hernandez,dharmon@king.com,Honduras,REST003,D20250824,CH2,1,257.62,Confirmada
R0125,C1027,Kara Mcknight,bradley67@gmail.com,Cuba,REST003,D20250819,CH3,1,0.0,Cancelada
R0179,C1631,Julia Taylor,khernandez@reed.biz,Cyprus,REST003,D20250823,CH2,4,1052.68,Confirmada
R0193,C1228,Judy Arias,gsantos@woods.com,Mauritius,REST004,D20250821,CH2,1,249.35,Confirmada
R2308,C1848,Mr. Jackson Moore,miranda45@johnson-deleon.info,Saint Kitts and Nevis,REST002,D20250824,CH3,4,0.0,Cancelada
R1430,C1925,Cynthia Williams,marcia30@hotmail.com,Western Sahara,REST004,D20250822,CH2,2,530.0,Confirmada
R1692,C1146,Michael Fletcher,marygordon@yahoo.com,Saint Vincent and the Grenadines,REST003,D20250823,CH3,5,900.29,Confirmada
R0742,C1480,Elizabeth Barr,amy78@wood.com,Ethiopia,REST004,D20250815,CH2,5,0.0,Cancelada
R1035,C1948,Ryan Harvey,hlawson@hanson.org,Gambia,REST003,D20250824,CH3,2,0.0,Cancelada
R1967,C1922,Kimberly Montes,cody67@gmail.com,Kiribati,REST001,D20250823,CH3,4,1104.18,Confirmada
R0479,C1362,Megan Silva,aknight@gmail.com,Cook Islands,REST003,D20250819,CH1,4,313.93,Confirmada
R1028,C1685,Stacey Pierce,meganphillips@harris-cruz.com,Greenland,REST004,D20250819,CH3,3,0.0,Cancelada
R2602,C1961,Kenneth Dunn,george89@hotmail.com,Cote d'Ivoire,REST002,D20250818,CH2,4,564.23,Confirmada
R0369,C1352,Sarah Wilkerson,jacobanderson@gmail.com,Libyan Arab Jamahiriya,REST001,D20250812,CH2,3,0.0,Cancelada
R2524,C1073,Peter Kelly,dannyrandall@farmer.com,Aruba,REST002,D20250826,CH2,3,287.41,Confirmada
R0846,C1692,Beth Benson,jennyfischer@gmail.com,Sierra Leone,REST002,D20250816,CH2,4,0.0,Cancelada
R0257,C1006,Jonathan Phillips,marycook@gilbert-nelson.com,Brazil,REST002,D20250820,CH2,4,992.6,Confirmada
R1223,C1099,Linda Adams,gbates@yahoo.com,Sri Lanka,REST002,D20250814,CH2,5,440.94,Confirmada
R1993,C1708,Jesse Hardy,iyoung@morgan-young.com,Ireland,REST004,D20250821,CH3,2,552.42,Confirmada
R0212,C1225,Dana Bradley,nicholas50@hotmail.com,Chile,REST003,D20250816,CH3,3,0.0,No Show
R2690,C1383,Zachary Mathis,michellelynn@newton-leonard.biz,Serbia,REST002,D20250811,CH1,3,850.62,Confirmada
R1950,C1595,Brian Mcguire,anthonyhughes@petty.com,Ghana,REST003,D20250826,CH2,1,67.18,Confirmada
R1363,C1274,Brooke Johnson,colebrown@gmail.com,Maldives,REST004,D20250826,CH2,2,279.18,Confirmada
R2152,C1688,Barbara Villarreal,beckysimpson@jennings-hahn.com,Croatia,REST002,D20250811,CH1,1,109.6,Confirmada
R2154,C1920,Robert Patel,zavalajacob@gmail.com,Dominica,REST003,D20250820,CH2,4,289.61,Confirmada
R0568,C1587,Rachel Mendez,kimberly05@yahoo.com,Jersey,REST001,D20250822,CH1,3,419.1,Confirmada
R2207,C1402,Daniel Fletcher,joshua71@jackson-jones.biz,Pakistan,REST003,D20250815,CH2,2,0.0,Cancelada
R2094,C1763,Jamie Oneal,fullercindy@yahoo.com,Monaco,REST003,D20250814,CH2,3,811.59,Confirmada
R1711,C1334,Becky Taylor,olivia75@hotmail.com,Tuvalu,REST002,D20250820,CH1,5,0.0,Cancelada
R1264,C1391,Nicholas Martin,marisaellis@gmail.com,Comoros,REST002,D20250820,CH2,1,285.32,Confirmada
R2124,C1335,Kimberly Nguyen,zachary21@bryant.info,Christmas Island,REST003,D20250815,CH3,2,132.96,Confirmada
R0799,C1617,Deborah Jordan,angie04@ruiz.com,Honduras,REST003,D20250813,CH1,2,0.0,Cancelada
R0081,C1890,Darren Jimenez,ryanmadden@parker-west.info,Burundi,REST004,D20250813,CH1,5,560.13,Confirmada
R0033,C1143,Allison Dunn,gutierrezlori@hotmail.com,Kuwait,REST002,D20250810,CH2,3,0.0,Cancelada
R0415,C1910,David Vasquez,robinberg@yahoo.com,Chad,REST004,D20250825,CH1,5,999.74,Confirmada
R1805,C1665,Richard Herrera,timothyjohnson@gmail.com,Cook Islands,REST004,D20250826,CH3,1,66.84,Confirmada
R2214,C1274,Brooke Johnson,colebrown@gmail.com,Maldives,REST001,D20250821,CH2,3,0.0,Cancelada
R1322,C1327,Roy Edwards,kingdarrell@yahoo.com,Mauritania,REST001,D20250810,CH1,2,0.0,Cancelada
R1568,C1007,Joshua Marks,kelseyflores@frazier.com,Saint Kitts and Nevis,REST002,D20250819,CH1,5,1063.61,Confirmada
R0784,C1016,Dawn Gregory,joshuamatthews@lyons-lam.net,Portugal,REST003,D20250826,CH3,4,1012.25,Confirmada
R2992,C1508,Jasmin Scott,gregoryjoshua@gmail.com,Qatar,REST001,D20250823,CH3,4,0.0,Cancelada
R1413,C1870,Mrs. Dawn Adams,glenda49@hernandez.org,Benin,REST003,D20250812,CH1,2,138.79,Confirmada
R0458,C1126,Derek Blake,jessicayoung@robertson.com,Belgium,REST003,D20250823,CH1,3,438.5,Confirmada
R0140,C1317,Amanda Powell MD,scochran@hotmail.com,Yemen,REST001,D20250821,CH3,3,840.8,Confirmada
R2231,C1309,Karen Wright,johnhernandez@hicks.com,Bermuda,REST003,D20250814,CH3,4,278.59,Confirmada
